** CONVERTED FROM pursuit.edf using edfapi 4.2.1.0 Windows   standalone Jun 19 2021 on Tue Jul 27 09:46:26 2021
** DATE: Fri Jul 23 10:23:46 2021
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v6.50.40842 Nov  5 2020 (EyeLink Portable Duo)
** CAMERA: EyeLink USBCAM Version 1.01
** SERIAL NUMBER: CLU-DBC18
** CAMERA_CONFIG: DBC18200.SCD
**

MSG	4034002 RECCFG CR 500 2 1 LR
MSG	4034002 ELCLCFG RBTABLER
MSG	4034002 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	4034002 THRESHOLDS L 94 216  R 98 221
MSG	4034002 ELCL_WINDOW_SIZES 160 160 208 208
MSG	4034002 CAMERA_LENS_FOCAL_LENGTH 27.00 
MSG	4034002 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	4034002 ELCL_PROC ELLIPSE  (5)
MSG	4034002 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	4034003 !MODE RECORD CR 500 2 1 LR
START	4034004 	LEFT	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	LEFT	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
4034104	  911.9	  515.7	 1266.0	  936.7	  508.2	 1321.0	.....
4034106	  911.8	  521.0	 1266.0	  937.1	  512.3	 1320.0	.....
4034108	  911.2	  527.9	 1267.0	  937.1	  517.4	 1320.0	.....
4034110	  910.5	  536.0	 1268.0	  936.9	  522.9	 1320.0	.....
4034112	  909.9	  543.9	 1268.0	  936.7	  528.5	 1320.0	.....
4034114	  909.4	  551.2	 1269.0	  935.8	  534.1	 1320.0	.....
4034116	  909.2	  557.2	 1270.0	  935.0	  538.7	 1320.0	.....
4034118	  909.4	  561.4	 1271.0	  934.5	  541.3	 1320.0	.....
4034120	  909.8	  562.4	 1271.0	  934.5	  542.4	 1320.0	.....
ESACC R  4034104	4034120	18	  936.7	  508.2	  934.5	  542.4	   0.73	     57
SFIX R   4034122
4034122	  910.9	  561.5	 1271.0	  934.9	  541.2	 1319.0	.....
4034124	  911.9	  559.2	 1271.0	  935.5	  539.2	 1319.0	.....
ESACC L  4034102	4034124	24	  911.8	  512.3	  911.9	  559.2	   0.99	     79
SFIX L   4034126
4034126	  913.0	  556.7	 1271.0	  936.1	  537.1	 1318.0	.....
4034128	  913.6	  554.1	 1270.0	  936.7	  535.0	 1318.0	.....
4034130	  914.2	  551.8	 1269.0	  937.2	  532.8	 1318.0	.....
4034132	  914.3	  549.5	 1268.0	  937.7	  531.1	 1318.0	.....
4034134	  914.4	  548.4	 1266.0	  937.8	  529.8	 1317.0	.....
4034136	  914.2	  547.4	 1265.0	  937.9	  529.8	 1316.0	.....
4034138	  913.8	  546.7	 1264.0	  938.0	  529.8	 1315.0	.....
4034140	  913.4	  546.2	 1263.0	  938.1	  529.8	 1314.0	.....
4034142	  913.0	  546.0	 1263.0	  938.4	  529.8	 1313.0	.....
4034144	  912.7	  545.8	 1263.0	  938.7	  529.9	 1312.0	.....
4034146	  912.5	  545.7	 1263.0	  939.0	  530.1	 1311.0	.....
4034148	  912.2	  545.8	 1263.0	  939.3	  530.3	 1311.0	.....
4034150	  911.9	  545.9	 1263.0	  939.5	  530.5	 1311.0	.....
4034152	  911.9	  546.0	 1263.0	  939.7	  530.6	 1311.0	.....
4034154	  911.8	  546.1	 1263.0	  939.8	  530.9	 1311.0	.....
4034156	  911.8	  546.7	 1262.0	  939.7	  531.3	 1311.0	.....
4034158	  911.7	  547.5	 1262.0	  939.6	  531.6	 1310.0	.....
4034160	  911.6	  548.2	 1262.0	  939.4	  531.9	 1310.0	.....
4034162	  911.6	  548.9	 1261.0	  939.2	  532.2	 1309.0	.....
4034164	  911.6	  549.6	 1260.0	  939.0	  532.7	 1309.0	.....
4034166	  911.6	  550.4	 1260.0	  938.9	  533.1	 1307.0	.....
4034168	  911.6	  551.2	 1260.0	  938.7	  533.5	 1306.0	.....
4034170	  911.7	  551.5	 1259.0	  938.6	  533.7	 1306.0	.....
4034172	  911.7	  551.6	 1259.0	  938.5	  533.9	 1305.0	.....
4034174	  911.8	  551.5	 1258.0	  938.4	  534.1	 1304.0	.....
4034176	  911.8	  551.2	 1258.0	  938.2	  534.1	 1304.0	.....
4034178	  911.7	  550.8	 1258.0	  938.1	  533.9	 1303.0	.....
4034180	  911.7	  550.4	 1257.0	  937.9	  533.7	 1303.0	.....
4034182	  911.6	  550.0	 1257.0	  937.7	  533.6	 1303.0	.....
4034184	  911.5	  549.6	 1257.0	  937.5	  533.7	 1302.0	.....
4034186	  911.3	  549.3	 1256.0	  937.3	  534.1	 1301.0	.....
